url,written,written_human_readable,origin
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Cldn13/24042_K8689_FHMS.zarr,13195837440,12.3 GiB,https://images.jax.org/webclient/?show=image-12378
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Nsf/18646_K36304_FScBfBone.zarr,16762798080,15.6 GiB,https://images.jax.org/webclient/?show=image-9981
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Syn3/23665_K26745_FLung.zarr,11887902720,11.1 GiB,https://images.jax.org/webclient/?show=image-13668
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Srd5a3/24184_K18678_MSalvTrach.zarr,13057228800,12.2 GiB,https://images.jax.org/webclient/?show=image-11329
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Ccdc120/18591_C9152_FMam.zarr,11728650240,10.9 GiB,https://images.jax.org/webclient/?show=image-8595
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Smoc2/24350_K71545_FBrainEye.zarr,15311831040,14.3 GiB,https://images.jax.org/webclient/?show=image-853
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Kif3c/26720_J3009_MGut.zarr,17051811840,15.9 GiB,https://images.jax.org/webclient/?show=image-9790
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Fam217b/26611_K93517_MScBfBone.zarr,14354841600,13.4 GiB,https://images.jax.org/webclient/?show=image-2375
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Dnaja4/22776_K9634_MColon.zarr,17225809920,16.0 GiB,https://images.jax.org/webclient/?show=image-11399
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/old_omero2/28351_J54115_MKSLAP.zarr,19110297600,17.8 GiB,https://images.jax.org/webclient/?show=image-131380
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Scg2/26067_K91256_FScBfBone.zarr,14780989440,13.8 GiB,https://images.jax.org/webclient/?show=image-10900
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Rnf13/26488_K82769_MLung.zarr,10506240000,9.8 GiB,https://images.jax.org/webclient/?show=image-8765
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Stx19/25865_K72928_FGut.zarr,17486807040,16.3 GiB,https://images.jax.org/webclient/?show=image-7417
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Pax7/23412_K9515_FHMS.zarr,16053534720,15.0 GiB,https://images.jax.org/webclient/?show=image-6567
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/omero/Foxp1/26490_J28545_MGut.zarr,17517772800,16.3 GiB,https://images.jax.org/webclient/?show=image-6067
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Hapln1/24023_K40473_MKSLAP.zarr,14960885760,13.9 GiB,https://images.jax.org/webclient/?show=image-4584
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/old_omero2/27654_J27821_MKSLAP.zarr,16762798080,15.6 GiB,https://images.jax.org/webclient/?show=image-130709
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Ppp1r35/25860_K77890_MGut.zarr,16355819520,15.2 GiB,https://images.jax.org/webclient/?show=image-14195
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/omero/Kti12/28456_J57395_MKSLAP.zarr,18095800320,16.9 GiB,https://images.jax.org/webclient/?show=image-1539
https://storage.googleapis.com/jax-public-ngff-2024/KOMP/adult_lacZ/ndp/Cbln3/18556_C2910_FSalvTrach.zarr,6722519040,6.3 GiB,https://images.jax.org/webclient/?show=image-3532
