url,written,written_human_readable,origin
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2010/whitej_205/2021-07/07/09-29-42.218/R21539_7.zarr,12091392000,11.3 GiB,https://images.jax.org/webclient/?show=image-178168
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1604/whitej_205/2020-08/18/17-37-27.381/KOMP_K19113_10.zarr,14760345600,13.7 GiB,https://images.jax.org/webclient/?show=image-175702
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1528/whitej_205/2020-08/18/15-08-12.856/KOMP_16488_20120726F-3_7.zarr,7549747200,7.0 GiB,https://images.jax.org/webclient/?show=image-185636
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2081/whitej_205/2021-01/26/10-09-19.093/J90290_10.zarr,11094589440,10.3 GiB,https://images.jax.org/webclient/?show=image-179477
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1941/whitej_205/2021-08/19/15-12-56.241/R6606_2.zarr,12514590720,11.7 GiB,https://images.jax.org/webclient/?show=image-177060
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1586/whitej_205/2020-08/18/17-06-46.818/KOMP_C10525_8.zarr,11150622720,10.4 GiB,https://images.jax.org/webclient/?show=image-174317
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1503/whitej_205/2020-08/18/14-18-23.557/KOMP_C11139_7.zarr,9056747520,8.4 GiB,https://images.jax.org/webclient/?show=image-165044
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1602/whitej_205/2020-08/18/17-35-01.048/KOMP_C10681_9.zarr,10398597120,9.7 GiB,https://images.jax.org/webclient/?show=image-175513
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2040/whitej_205/2020-12/16/15-17-48.937/X18638_6.zarr,10675814400,9.9 GiB,https://images.jax.org/webclient/?show=image-166747
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1941/whitej_205/2020-12/02/16-33-04.128/K14792_4.zarr,9979822080,9.3 GiB,https://images.jax.org/webclient/?show=image-177128
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2903/whitej_205/2021-07/26/11-55-32.583/X17345_2.zarr,8673361920,8.1 GiB,https://images.jax.org/webclient/?show=image-184060
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1844/whitej_205/2021-05/05/08-04-28.675/K81247_7.zarr,8183808000,7.6 GiB,https://images.jax.org/webclient/?show=image-176629
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1587/whitej_205/2020-12/16/14-49-42.628/K1410_8.zarr,8347484160,7.8 GiB,https://images.jax.org/webclient/?show=image-174488
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2956/whitej_205/2021-08/19/15-01-22.442/R42215_1.zarr,14014218240,13.1 GiB,https://images.jax.org/webclient/?show=image-185207
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1574/whitej_205/2020-08/18/16-35-59.537/KOMP_A30111_1.zarr,15416524800,14.4 GiB,https://images.jax.org/webclient/?show=image-173132
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1549/whitej_205/2020-08/18/15-56-10.421/KOMP_A24775_3.zarr,10942709760,10.2 GiB,https://images.jax.org/webclient/?show=image-172280
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1528/whitej_205/2021-01/05/12-40-08.987/X30627_7.zarr,14522941440,13.5 GiB,https://images.jax.org/webclient/?show=image-186801
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1538/whitej_205/2020-08/18/15-34-57.317/KOMP_C9415_3.zarr,9956229120,9.3 GiB,https://images.jax.org/webclient/?show=image-171782
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1511/whitej_205/2020-08/18/14-33-59.979/KOMP_K680_6.zarr,10868981760,10.1 GiB,https://images.jax.org/webclient/?show=image-170259
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2824/whitej_205/2021-07/07/10-39-14.177/X17289_4.zarr,13377208320,12.5 GiB,https://images.jax.org/webclient/?show=image-183389
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2085/whitej_205/2021-01/26/10-42-47.708/X12487_4.zarr,12952535040,12.1 GiB,https://images.jax.org/webclient/?show=image-180006
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1528/whitej_205/2021-01/26/11-06-02.826/J91682_7.zarr,10377953280,9.7 GiB,https://images.jax.org/webclient/?show=image-186068
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2007/whitej_205/2020-12/09/08-17-53.602/K11217_10.zarr,16243752960,15.1 GiB,https://images.jax.org/webclient/?show=image-165728
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1568/whitej_205/2020-08/18/16-26-01.953/KOMP_K4295_5.zarr,16706764800,15.6 GiB,https://images.jax.org/webclient/?show=image-167905
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2077/whitej_205/2021-01/26/10-48-03.394/J77493_9.zarr,13972930560,13.0 GiB,https://images.jax.org/webclient/?show=image-178955
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2908/whitej_205/2021-07/26/12-50-51.562/X94335_5.zarr,9637724160,9.0 GiB,https://images.jax.org/webclient/?show=image-184958
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1492/whitej_205/2020-08/18/13-53-44.206/KOMP_K24324_7.zarr,10024058880,9.3 GiB,https://images.jax.org/webclient/?show=image-164618
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2711/whitej_205/2021-07/26/12-25-38.687/X61180_2.zarr,8410890240,7.8 GiB,https://images.jax.org/webclient/?show=image-181233
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1531/whitej_205/2020-12/09/08-31-23.028/K37576_7.zarr,7476019200,7.0 GiB,https://images.jax.org/webclient/?show=image-171339
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1944/whitej_205/2020-12/09/08-30-08.810/K34554_8.zarr,7226818560,6.7 GiB,https://images.jax.org/webclient/?show=image-177293
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2817/whitej_205/2021-07/07/09-58-36.073/R32683_3.zarr,12669419520,11.8 GiB,https://images.jax.org/webclient/?show=image-182571
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1527/whitej_205/2020-08/18/15-01-49.683/K94151_8.zarr,14368112640,13.4 GiB,https://images.jax.org/webclient/?show=image-166896
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2709/whitej_205/2021-06/14/17-07-16.093/X32197_9.zarr,10476748800,9.8 GiB,https://images.jax.org/webclient/?show=image-181045
https://storage.googleapis.com/jax-public-ngff-2024/public_data/2814/whitej_205/2021-07/07/10-10-51.859/R34931_10.zarr,11063623680,10.3 GiB,https://images.jax.org/webclient/?show=image-182142
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1547/whitej_205/2020-08/18/15-51-13.167/KOMP_K31435_10.zarr,17040015360,15.9 GiB,https://images.jax.org/webclient/?show=image-167086
https://storage.googleapis.com/jax-public-ngff-2024/public_data/1534/whitej_205/2020-08/18/15-29-03.773/KOMP_K15641_8.zarr,9201254400,8.6 GiB,https://images.jax.org/webclient/?show=image-171510
